0,-1,0
1,-1,1
2,-1,2
3,-1,3
4,-1,4
5,-1,5
6,-1,6
7,-1,7
8,-1,8
9,-1,9
10,-1,10
11,-1,11
12,-1,12
13,-1,13
14,-1,14
15,-1,15
16,-1,16
17,-1,17
18,-1,18
19,-1,19
20,-1,20
21,-1,-1
22,-1,21
23,-1,22
24,-1,23
25,-1,24
26,-1,25
27,-1,26
28,-1,27
29,-1,-1
30,-1,28
31,-1,29
32,-1,30
33,-1,31
34,-1,-1
35,-1,32
36,-1,-1
37,-1,33
38,-1,34
39,-1,35
40,-1,36
41,-1,37
42,-1,38
43,-1,39
44,-1,40
45,-1,41
46,-1,42
47,-1,-1
48,-1,43
49,-1,44
50,-1,45
51,-1,46
52,-1,-1
53,-1,47
54,-1,-1
55,-1,-1
56,-1,48
57,-1,49
58,-1,50
59,-1,51
60,-1,52
61,-1,53
62,-1,54
63,-1,55
64,-1,56
65,-1,57
66,-1,-1
67,-1,-1
68,-1,58
69,-1,59
70,-1,60
71,-1,61
72,-1,62
73,-1,63
74,-1,64
75,-1,65
76,-1,-1
77,-1,66
78,-1,67
79,-1,68
80,-1,69
81,-1,70
82,-1,71
83,-1,72
84,-1,73
85,-1,74
86,-1,75
87,-1,76
88,-1,77
89,-1,78
90,-1,-1
91,-1,79
92,-1,80
93,-1,81
94,-1,82
95,-1,83
96,-1,-1
97,-1,-1
98,-1,-1
99,-1,84
100,-1,85
101,-1,86
102,-1,87
103,-1,88
104,-1,89
105,-1,90
106,-1,91
107,-1,92
108,-1,-1
109,-1,-1
110,-1,-1
111,-1,-1
